============================================================
          RELATÓRIO DE SÉRIES: TEMPORADAS E EPISÓDIOS
 Termo: town doctor
 Data:  15/01/2026 17:46:50
============================================================

📊 RESUMO DE ATUALIZAÇÕES (POR SERVIDOR):
 > [SERVER: -_TESTE_COMPLETO_-_SMART_TVS_(_LG__SAMSUNG__ROKU_).m3u] -> 1ª Temp | Ep mais alto: 39
   ------------------------------
   ├─ The Town Doctor S02E13
   └─ Localizado: [ 2ª Temp | Ep: 13] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor S02E14
   └─ Localizado: [ 2ª Temp | Ep: 14] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor S02E15
   └─ Localizado: [ 2ª Temp | Ep: 15] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor S02E16
   └─ Localizado: [ 2ª Temp | Ep: 16] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor S02E17
   └─ Localizado: [ 2ª Temp | Ep: 17] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E01
   └─ Localizado: [ 1ª Temp | Ep: 1] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E02
   └─ Localizado: [ 1ª Temp | Ep: 2] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E03
   └─ Localizado: [ 1ª Temp | Ep: 3] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E06
   └─ Localizado: [ 1ª Temp | Ep: 6] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E07
   └─ Localizado: [ 1ª Temp | Ep: 7] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E08
   └─ Localizado: [ 1ª Temp | Ep: 8] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E09
   └─ Localizado: [ 1ª Temp | Ep: 9] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E10
   └─ Localizado: [ 1ª Temp | Ep: 10] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E11
   └─ Localizado: [ 1ª Temp | Ep: 11] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E12
   └─ Localizado: [ 1ª Temp | Ep: 12] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E13
   └─ Localizado: [ 1ª Temp | Ep: 13] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E14
   └─ Localizado: [ 1ª Temp | Ep: 14] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E15
   └─ Localizado: [ 1ª Temp | Ep: 15] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E16
   └─ Localizado: [ 1ª Temp | Ep: 16] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E17
   └─ Localizado: [ 1ª Temp | Ep: 17] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E18
   └─ Localizado: [ 1ª Temp | Ep: 18] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E19
   └─ Localizado: [ 1ª Temp | Ep: 19] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E20
   └─ Localizado: [ 1ª Temp | Ep: 20] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E21
   └─ Localizado: [ 1ª Temp | Ep: 21] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E22
   └─ Localizado: [ 1ª Temp | Ep: 22] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E23
   └─ Localizado: [ 1ª Temp | Ep: 23] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E24
   └─ Localizado: [ 1ª Temp | Ep: 24] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E25
   └─ Localizado: [ 1ª Temp | Ep: 25] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E26
   └─ Localizado: [ 1ª Temp | Ep: 26] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E27
   └─ Localizado: [ 1ª Temp | Ep: 27] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E28
   └─ Localizado: [ 1ª Temp | Ep: 28] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E29
   └─ Localizado: [ 1ª Temp | Ep: 29] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E30
   └─ Localizado: [ 1ª Temp | Ep: 30] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E31
   └─ Localizado: [ 1ª Temp | Ep: 31] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E32
   └─ Localizado: [ 1ª Temp | Ep: 32] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E33
   └─ Localizado: [ 1ª Temp | Ep: 33] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E34
   └─ Localizado: [ 1ª Temp | Ep: 34] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E35
   └─ Localizado: [ 1ª Temp | Ep: 35] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E36
   └─ Localizado: [ 1ª Temp | Ep: 36] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E37
   └─ Localizado: [ 1ª Temp | Ep: 37] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E38
   └─ Localizado: [ 1ª Temp | Ep: 38] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E39
   └─ Localizado: [ 1ª Temp | Ep: 39] em ♦️SÉRIES -LEGENDADAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E01
   └─ Localizado: [ 1ª Temp | Ep: 1] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E02
   └─ Localizado: [ 1ª Temp | Ep: 2] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E03
   └─ Localizado: [ 1ª Temp | Ep: 3] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E04
   └─ Localizado: [ 1ª Temp | Ep: 4] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E06
   └─ Localizado: [ 1ª Temp | Ep: 6] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E07
   └─ Localizado: [ 1ª Temp | Ep: 7] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E08
   └─ Localizado: [ 1ª Temp | Ep: 8] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E09
   └─ Localizado: [ 1ª Temp | Ep: 9] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E10
   └─ Localizado: [ 1ª Temp | Ep: 10] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E11
   └─ Localizado: [ 1ª Temp | Ep: 11] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E12
   └─ Localizado: [ 1ª Temp | Ep: 12] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E13
   └─ Localizado: [ 1ª Temp | Ep: 13] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E14
   └─ Localizado: [ 1ª Temp | Ep: 14] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E15
   └─ Localizado: [ 1ª Temp | Ep: 15] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E16
   └─ Localizado: [ 1ª Temp | Ep: 16] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E17
   └─ Localizado: [ 1ª Temp | Ep: 17] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E18
   └─ Localizado: [ 1ª Temp | Ep: 18] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E19
   └─ Localizado: [ 1ª Temp | Ep: 19] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E20
   └─ Localizado: [ 1ª Temp | Ep: 20] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E21
   └─ Localizado: [ 1ª Temp | Ep: 21] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E22
   └─ Localizado: [ 1ª Temp | Ep: 22] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E23
   └─ Localizado: [ 1ª Temp | Ep: 23] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E24
   └─ Localizado: [ 1ª Temp | Ep: 24] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E25
   └─ Localizado: [ 1ª Temp | Ep: 25] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E26
   └─ Localizado: [ 1ª Temp | Ep: 26] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E27
   └─ Localizado: [ 1ª Temp | Ep: 27] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E28
   └─ Localizado: [ 1ª Temp | Ep: 28] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E29
   └─ Localizado: [ 1ª Temp | Ep: 29] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E30
   └─ Localizado: [ 1ª Temp | Ep: 30] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E31
   └─ Localizado: [ 1ª Temp | Ep: 31] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E32
   └─ Localizado: [ 1ª Temp | Ep: 32] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E33
   └─ Localizado: [ 1ª Temp | Ep: 33] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E34
   └─ Localizado: [ 1ª Temp | Ep: 34] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E35
   └─ Localizado: [ 1ª Temp | Ep: 35] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E36
   └─ Localizado: [ 1ª Temp | Ep: 36] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E37
   └─ Localizado: [ 1ª Temp | Ep: 37] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E38
   └─ Localizado: [ 1ª Temp | Ep: 38] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E39
   └─ Localizado: [ 1ª Temp | Ep: 39] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E01
   └─ Localizado: [ 1ª Temp | Ep: 1] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E02
   └─ Localizado: [ 1ª Temp | Ep: 2] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E03
   └─ Localizado: [ 1ª Temp | Ep: 3] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E04
   └─ Localizado: [ 1ª Temp | Ep: 4] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E06
   └─ Localizado: [ 1ª Temp | Ep: 6] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E07
   └─ Localizado: [ 1ª Temp | Ep: 7] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E08
   └─ Localizado: [ 1ª Temp | Ep: 8] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E09
   └─ Localizado: [ 1ª Temp | Ep: 9] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E10
   └─ Localizado: [ 1ª Temp | Ep: 10] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E11
   └─ Localizado: [ 1ª Temp | Ep: 11] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E12
   └─ Localizado: [ 1ª Temp | Ep: 12] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E13
   └─ Localizado: [ 1ª Temp | Ep: 13] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E14
   └─ Localizado: [ 1ª Temp | Ep: 14] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E15
   └─ Localizado: [ 1ª Temp | Ep: 15] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E16
   └─ Localizado: [ 1ª Temp | Ep: 16] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E17
   └─ Localizado: [ 1ª Temp | Ep: 17] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E18
   └─ Localizado: [ 1ª Temp | Ep: 18] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E19
   └─ Localizado: [ 1ª Temp | Ep: 19] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E20
   └─ Localizado: [ 1ª Temp | Ep: 20] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E21
   └─ Localizado: [ 1ª Temp | Ep: 21] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E22
   └─ Localizado: [ 1ª Temp | Ep: 22] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E23
   └─ Localizado: [ 1ª Temp | Ep: 23] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E24
   └─ Localizado: [ 1ª Temp | Ep: 24] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E25
   └─ Localizado: [ 1ª Temp | Ep: 25] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E26
   └─ Localizado: [ 1ª Temp | Ep: 26] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E27
   └─ Localizado: [ 1ª Temp | Ep: 27] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E28
   └─ Localizado: [ 1ª Temp | Ep: 28] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E29
   └─ Localizado: [ 1ª Temp | Ep: 29] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E30
   └─ Localizado: [ 1ª Temp | Ep: 30] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E31
   └─ Localizado: [ 1ª Temp | Ep: 31] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E32
   └─ Localizado: [ 1ª Temp | Ep: 32] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E33
   └─ Localizado: [ 1ª Temp | Ep: 33] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E34
   └─ Localizado: [ 1ª Temp | Ep: 34] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E35
   └─ Localizado: [ 1ª Temp | Ep: 35] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E36
   └─ Localizado: [ 1ª Temp | Ep: 36] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E37
   └─ Localizado: [ 1ª Temp | Ep: 37] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E38
   └─ Localizado: [ 1ª Temp | Ep: 38] em ♦️SÉRIES -TURCAS
   ------------------------------
   ├─ The Town Doctor* S01E39
   └─ Localizado: [ 1ª Temp | Ep: 39] em ♦️SÉRIES -TURCAS
   ------------------------------


📁 LISTA: HAVOK_TV_-_DIGNUS_-__[Teste_04h]_-_Dignus.m3u
   ├─ The Town Doctor [L] S01E01
   └─ Localizado: [ 1ª Temp | Ep: 1] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E02
   └─ Localizado: [ 1ª Temp | Ep: 2] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E03
   └─ Localizado: [ 1ª Temp | Ep: 3] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E06
   └─ Localizado: [ 1ª Temp | Ep: 6] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E07
   └─ Localizado: [ 1ª Temp | Ep: 7] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E08
   └─ Localizado: [ 1ª Temp | Ep: 8] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E09
   └─ Localizado: [ 1ª Temp | Ep: 9] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E10
   └─ Localizado: [ 1ª Temp | Ep: 10] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E11
   └─ Localizado: [ 1ª Temp | Ep: 11] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E12
   └─ Localizado: [ 1ª Temp | Ep: 12] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E13
   └─ Localizado: [ 1ª Temp | Ep: 13] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E14
   └─ Localizado: [ 1ª Temp | Ep: 14] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E15
   └─ Localizado: [ 1ª Temp | Ep: 15] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E16
   └─ Localizado: [ 1ª Temp | Ep: 16] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E17
   └─ Localizado: [ 1ª Temp | Ep: 17] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E18
   └─ Localizado: [ 1ª Temp | Ep: 18] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E19
   └─ Localizado: [ 1ª Temp | Ep: 19] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E20
   └─ Localizado: [ 1ª Temp | Ep: 20] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E21
   └─ Localizado: [ 1ª Temp | Ep: 21] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E22
   └─ Localizado: [ 1ª Temp | Ep: 22] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E23
   └─ Localizado: [ 1ª Temp | Ep: 23] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E24
   └─ Localizado: [ 1ª Temp | Ep: 24] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E25
   └─ Localizado: [ 1ª Temp | Ep: 25] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E26
   └─ Localizado: [ 1ª Temp | Ep: 26] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E27
   └─ Localizado: [ 1ª Temp | Ep: 27] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E28
   └─ Localizado: [ 1ª Temp | Ep: 28] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E29
   └─ Localizado: [ 1ª Temp | Ep: 29] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E30
   └─ Localizado: [ 1ª Temp | Ep: 30] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E31
   └─ Localizado: [ 1ª Temp | Ep: 31] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E32
   └─ Localizado: [ 1ª Temp | Ep: 32] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E33
   └─ Localizado: [ 1ª Temp | Ep: 33] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E34
   └─ Localizado: [ 1ª Temp | Ep: 34] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E35
   └─ Localizado: [ 1ª Temp | Ep: 35] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E36
   └─ Localizado: [ 1ª Temp | Ep: 36] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E37
   └─ Localizado: [ 1ª Temp | Ep: 37] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E38
   └─ Localizado: [ 1ª Temp | Ep: 38] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E39
   └─ Localizado: [ 1ª Temp | Ep: 39] em ♦️ Legendadas
   ------------------------------
   ├─ The Town Doctor S01E01
   └─ Localizado: [ 1ª Temp | Ep: 1] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E02
   └─ Localizado: [ 1ª Temp | Ep: 2] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E03
   └─ Localizado: [ 1ª Temp | Ep: 3] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E04
   └─ Localizado: [ 1ª Temp | Ep: 4] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E06
   └─ Localizado: [ 1ª Temp | Ep: 6] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E07
   └─ Localizado: [ 1ª Temp | Ep: 7] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E08
   └─ Localizado: [ 1ª Temp | Ep: 8] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E09
   └─ Localizado: [ 1ª Temp | Ep: 9] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E10
   └─ Localizado: [ 1ª Temp | Ep: 10] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E11
   └─ Localizado: [ 1ª Temp | Ep: 11] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E12
   └─ Localizado: [ 1ª Temp | Ep: 12] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E13
   └─ Localizado: [ 1ª Temp | Ep: 13] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E14
   └─ Localizado: [ 1ª Temp | Ep: 14] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E15
   └─ Localizado: [ 1ª Temp | Ep: 15] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E16
   └─ Localizado: [ 1ª Temp | Ep: 16] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E17
   └─ Localizado: [ 1ª Temp | Ep: 17] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E18
   └─ Localizado: [ 1ª Temp | Ep: 18] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E19
   └─ Localizado: [ 1ª Temp | Ep: 19] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E20
   └─ Localizado: [ 1ª Temp | Ep: 20] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E21
   └─ Localizado: [ 1ª Temp | Ep: 21] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E22
   └─ Localizado: [ 1ª Temp | Ep: 22] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E23
   └─ Localizado: [ 1ª Temp | Ep: 23] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E24
   └─ Localizado: [ 1ª Temp | Ep: 24] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E25
   └─ Localizado: [ 1ª Temp | Ep: 25] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E26
   └─ Localizado: [ 1ª Temp | Ep: 26] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E27
   └─ Localizado: [ 1ª Temp | Ep: 27] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E28
   └─ Localizado: [ 1ª Temp | Ep: 28] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E29
   └─ Localizado: [ 1ª Temp | Ep: 29] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E30
   └─ Localizado: [ 1ª Temp | Ep: 30] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E31
   └─ Localizado: [ 1ª Temp | Ep: 31] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E32
   └─ Localizado: [ 1ª Temp | Ep: 32] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E33
   └─ Localizado: [ 1ª Temp | Ep: 33] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E34
   └─ Localizado: [ 1ª Temp | Ep: 34] em ♦️ Novelas Turcas
   ------------------------------
   ├─ The Town Doctor S01E35
   └─ Localizado: [ 1ª Temp | Ep: 35] em ♦️ Novelas Turcas
   ------------------------------
